classe;admissible;terme;commentaire;source;privilegie;page;ligne_page
1;;terre à diatomées;;OMPI;;1;1
1;;compositions pour la fabrication de la céramique technique;;OMPI;;1;2
1;;compost;;OMPI;;1;3
1;;paillis (engrais);;OMPI;;1;4
1;;matériaux céramiques en particules utilisés en tant que milieux filtrants;;OMPI;;1;5
1;;matières synthétiques pour l'absorption d'huile;;OMPI;;1;6
1;;produits pour la conservation de la bière;;OMPI;;1;7
1;;ichtyocolle autre que pour la papeterie ou le ménage ou à usage alimentaire;;OMPI;;1;8
1;;glucose à usage industriel;;OMPI;;1;9
1;;matières filtrantes constituées de substances végétales;;OMPI;;1;10
1;;matières filtrantes constituées de substances minérales;;OMPI;;1;11
1;;matières filtrantes constituées de substances chimiques;;OMPI;;1;12
1;;matières filtrantes en matières plastiques à l'état brut;;OMPI;;1;13
1;;émollients pour l'industrie;;OMPI;;1;14
1;;produits chimiques pour la purification de l'eau;;OMPI;;1;15
1;;édulcorants artificiels à usage industriel;;OMPI;;1;16
1;;dissolvants pour vernis;;OMPI;;1;17
1;;dispersions de matières plastiques;;OMPI;;1;18
1;;dispersions de plastiques;;OMPI;;1;19
1;;produits pour la dissociation des graisses;;OMPI;;1;20
1;;compositions pour la fabrication de disques acoustiques;;OMPI;;1;21
1;;créosote à usage chimique;;OMPI;;1;22
1;;huiles pour le corroyage des cuirs;;OMPI;;1;23
1;;colles pour l'industrie;;OMPI;;1;24
1;;colles à usage industriel;;OMPI;;1;25
1;;oxyde de cobalt à usage industriel;;OMPI;;1;26
1;;films cinématographiques sensibilisés mais non exposés;;OMPI;;1;27
1;;films cinématographiques sensibilisés mais non impressionnés;;OMPI;;1;28
1;;noir de charbon à usage industriel;;OMPI;;1;29
1;;cultures de micro-organismes autres qu'à usage médical et vétérinaire;;OMPI;;1;30
1;;cultures de micro-organismes autres qu'à usage médical ou vétérinaire;;OMPI;;1;31
1;;préparations bactériologiques autres qu'à usage médical ou vétérinaire;;OMPI;;1;32
1;;préparations bactériennes autres qu'à usage médical ou vétérinaire;;OMPI;;1;33
1;;éthers de cellulose à usage industriel;;OMPI;;1;34
1;;dérivés chimiques de la cellulose;;OMPI;;1;35
1;;caséine à usage industriel;;OMPI;;1;36
1;;esters de cellulose à usage industriel;;OMPI;;1;37
1;;substrats pour la culture hors sol (agriculture);;OMPI;;1;38
1;;lécithine (matière première);;OMPI;;1;39
1;;floculants;;OMPI;;1;40
1;;carbonyle pour la protection des plantes;;OMPI;;1;41
1;;brome à usage chimique;;OMPI;;1;42
1;;fondants pour le soudage;;OMPI;;1;43
1;;fondants pour soudure;;OMPI;;1;44
1;;fondants pour le brasage;;OMPI;;1;45
1;;produits de distillation de l'esprit-de-bois;;OMPI;;1;46
1;;films (pellicules) sensibilisés mais non impressionnés;;OMPI;;1;47
1;;films sensibilisés mais non exposés;;OMPI;;1;48
1;;pellicules sensibilisées mais non exposées;;OMPI;;1;49
1;;décolorants à usage industriel;;OMPI;;1;50
1;;produits de blanchiment (décolorants) à usage industriel;;OMPI;;1;51
1;;produits de blanchiment à usage industriel;;OMPI;;1;52
1;;préparations de blanchiment (décolorants) à usage industriel;;OMPI;;1;53
1;;préparations de blanchiment à usage industriel;;OMPI;;1;54
1;;préparations biologiques autres qu'à usage médical ou vétérinaire;;OMPI;;1;55
1;;bicarbonate de soude à usage chimique;;OMPI;;1;56
1;;benzène méthylé;;OMPI;;1;57
1;;méthylbenzène;;OMPI;;1;58
1;;benzol méthylé;;OMPI;;1;59
1;;méthylbenzol;;OMPI;;1;60
1;;sulfate de baryum;;OMPI;;1;61
1;;adhésifs pour carreaux de revêtement;;OMPI;;1;62
1;;azotates;;OMPI;;1;63
1;;nitrates;;OMPI;;1;64
1;;produits contre la germination des légumes;;OMPI;;1;65
1;;produits chimiques pour l'avivage des couleurs à usage industriel;;OMPI;;1;66
1;;azotate d'argent;;OMPI;;1;67
1;;nitrate d'argent;;OMPI;;1;68
1;;charbon animal;;OMPI;;1;69
1;;sels d'ammonium;;OMPI;;1;70
1;;colle d'amidon (adhésif) autre que pour la papeterie ou le ménage;;OMPI;;1;71
1;;colle d'amidon autre que pour la papeterie ou le ménage;;OMPI;;1;72
1;;acétate d'alumine;;OMPI;;1;73
1;;alginates à usage industriel;;OMPI;;1;74
1;;alcaloïdes;;OMPI;;1;75
1;;sels de métaux alcalins;;OMPI;;1;76
1;;métaux alcalins;;OMPI;;1;77
1;;iodures alcalins à usage industriel;;OMPI;;1;78
1;;alcali volatil (ammoniaque) à usage industriel;;OMPI;;1;79
1;;alcali volatil à usage industriel;;OMPI;;1;80
1;;ammoniaque (alcali volatil) à usage industriel;;OMPI;;1;81
1;;ammoniaque à usage industriel;;OMPI;;1;82
1;;produits pour activer la cuisson à usage industriel;;OMPI;;1;83
1;;zircone;;OMPI;;1;84
1;;sulfates;;OMPI;;1;85
1;;chlorures;;OMPI;;1;86
1;;yttrium;;OMPI;;1;87
1;;ytterbium;;OMPI;;1;88
1;;xénon;;OMPI;;1;89
1;;withérite;;OMPI;;1;90
1;;produits de vulcanisation;;OMPI;;1;91
1;;sels de virage;;OMPI;;1;92
1;;sels de virage (photographie);;OMPI;;1;93
1;;alcool vinique;;OMPI;;1;94
1;;préparations chimiques de prophylaxie des maladies de la vigne;;OMPI;;1;95
1;;produits pour attendrir la viande à usage industriel;;OMPI;;1;96
1;;verre soluble;;OMPI;;1;97
1;;verre soluble (silicate);;OMPI;;1;98
1;;oxyde d'uranium;;OMPI;;1;99
1;;urane;;OMPI;;1;100
1;;uranium;;OMPI;;2;1
1;;acide tungstique;;OMPI;;2;2
1;;produits pour la conservation des tuiles à l'exception des peintures et des huiles;;OMPI;;2;3
1;;tourbe (engrais);;OMPI;;2;4
1;;toluol;;OMPI;;2;5
1;;toluène;;OMPI;;2;6
1;;titanite;;OMPI;;2;7
1;;anhydride titanique à usage industriel;;OMPI;;2;8
1;;dioxyde de titane à usage industriel;;OMPI;;2;9
1;;thorium;;OMPI;;2;10
1;;thulium;;OMPI;;2;11
1;;thiocarbanilide;;OMPI;;2;12
1;;thallium;;OMPI;;2;13
1;;produits de mouillage pour l'industrie textile;;OMPI;;2;14
1;;tétrachlorures;;OMPI;;2;15
1;;tétrachlorure de carbone;;OMPI;;2;16
1;;terre glaise;;OMPI;;2;17
1;;terres rares;;OMPI;;2;18
1;;terre de foulage pour l'industrie textile;;OMPI;;2;19
1;;terre de culture;;OMPI;;2;20
1;;terre de plantation;;OMPI;;2;21
1;;produits contre la ternissure des vitres;;OMPI;;2;22
1;;produits contre la ternissure du verre;;OMPI;;2;23
1;;produits chimiques pour la ternissure du verre;;OMPI;;2;24
1;;terbium;;OMPI;;2;25
1;;agents chimiques tensioactifs;;OMPI;;2;26
1;;agents tensio-actifs;;OMPI;;2;27
1;;agents tensioactifs;;OMPI;;2;28
1;;tellure;;OMPI;;2;29
1;;technétium;;OMPI;;2;30
1;;acide tartrique;;OMPI;;2;31
1;;tartre non à usage pharmaceutique;;OMPI;;2;32
1;;farine de tapioca à usage industriel;;OMPI;;2;33
1;;acide tannique;;OMPI;;2;34
1;;sels de calcium;;OMPI;;2;35
1;;matières tannantes;;OMPI;;2;36
1;;substances tannantes;;OMPI;;2;37
1;;tanin;;OMPI;;2;38
1;;tannin;;OMPI;;2;39
1;;tan;;OMPI;;2;40
1;;talc (silicate de magnésium);;OMPI;;2;41
1;;produits chimiques pour la sylviculture à l'exception des fongicides, herbicides, insecticides et parasiticides;;OMPI;;2;42
1;;sumac pour la tannerie;;OMPI;;2;43
1;;acide sulfurique;;OMPI;;2;44
1;;acide sulfureux;;OMPI;;2;45
1;;acides sulfoniques;;OMPI;;2;46
